OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v
Vihti;355641;6700134;Vihti;226;19610213;1961;2;13;3355000;6705000;-2.8;-0.6;-9.0;0.0;3403;4.22;0.00;57.0
Vihti;355641;6700134;Vihti;226;19610214;1961;2;14;3355000;6705000;0.2;2.7;-9.7;1.0;1639;6.38;0.00;58.0
Vihti;355641;6700134;Vihti;226;19610215;1961;2;15;3355000;6705000;0.7;3.2;-1.3;0.0;4100;5.47;0.00;58.0
Vihti;355641;6700134;Vihti;226;19610216;1961;2;16;3355000;6705000;-0.1;2.4;-5.5;0.0;1815;5.22;0.00;58.0
Vihti;355641;6700134;Vihti;226;19610217;1961;2;17;3355000;6705000;2.0;4.7;0.2;0.0;3279;6.19;0.00;58.0
Vihti;355641;6700134;Vihti;226;19610218;1961;2;18;3355000;6705000;1.0;4.7;-0.2;0.0;3700;6.27;0.00;58.0
Vihti;355641;6700134;Vihti;226;19610219;1961;2;19;3355000;6705000;-0.6;1.4;-2.6;0.0;2536;5.75;0.00;58.0
Vihti;355641;6700134;Vihti;226;19610220;1961;2;20;3355000;6705000;0.8;4.7;-1.6;0.0;1775;5.90;0.00;58.0
Vihti;355641;6700134;Vihti;226;19610221;1961;2;21;3355000;6705000;1.9;6.2;0.2;0.0;4819;5.71;0.00;58.0
Vihti;355641;6700134;Vihti;226;19610222;1961;2;22;3355000;6705000;1.2;5.1;-1.6;0.0;5014;4.72;0.00;58.0
Vihti;355641;6700134;Vihti;226;19610223;1961;2;23;3355000;6705000;-1.5;3.1;-2.5;0.0;4697;5.19;0.00;58.0
Vihti;355641;6700134;Vihti;226;19610224;1961;2;24;3355000;6705000;-1.5;5.4;-7.7;0.0;5789;4.97;0.00;58.0
Vihti;355641;6700134;Vihti;226;19610225;1961;2;25;3355000;6705000;-0.6;0.5;-2.2;0.0;2146;5.50;0.00;58.0
Vihti;355641;6700134;Vihti;226;19610226;1961;2;26;3355000;6705000;0.2;0.4;0.1;1.0;2346;5.35;0.00;59.0
Vihti;355641;6700134;Vihti;226;19610227;1961;2;27;3355000;6705000;1.3;2.7;0.9;3.0;2452;6.74;0.00;62.0
Vihti;355641;6700134;Vihti;226;19610228;1961;2;28;3355000;6705000;2.0;5.2;0.2;0.0;4830;5.85;0.00;62.0
Vihti;355641;6700134;Vihti;226;19610301;1961;3;1;3355000;6705000;-0.8;1.1;-2.0;0.0;3769;5.57;0.00;62.0
Vihti;355641;6700134;Vihti;226;19610302;1961;3;2;3355000;6705000;0.7;2.2;-1.2;0.0;2444;5.76;0.00;62.0
Vihti;355641;6700134;Vihti;226;19610303;1961;3;3;3355000;6705000;-0.2;1.0;-4.1;0.0;1490;5.81;0.00;62.0
Vihti;355641;6700134;Vihti;226;19610304;1961;3;4;3355000;6705000;2.4;3.7;0.8;1.0;2391;6.71;0.00;63.0
Vihti;355641;6700134;Vihti;226;19610305;1961;3;5;3355000;6705000;2.3;4.3;0.8;0.0;5709;5.43;0.00;63.0
